CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Madhya Pradesh Circle,DivReportingCircle,Hoshangabad Division,Bajania B.O,461228,BO,Delivery,HARDA,MADHYA PRADESH,22.472357,77.234767
Kerala Circle,Calicut Region,Cannanore Division,Elampara BO,670595,BO,Delivery,KANNUR,KERALA,11.9285562,75.5119729
Kerala Circle,Calicut Region,Cannanore Division,Koyyode BO,670621,BO,Delivery,KANNUR,KERALA,11.8598917,75.4415308
Kerala Circle,Calicut Region,Cannanore Division,Kanhirode BO,670592,BO,Non Delivery,KANNUR,KERALA,11.9217986,75.4781662
Kerala Circle,Calicut Region,Cannanore Division,Mullakodi BO,670602,BO,Delivery,KANNUR,KERALA,12.0101278,75.4086756
Kerala Circle,Calicut Region,Cannanore Division,Anchampeedika BO,670331,BO,Delivery,KANNUR,KERALA,11.8687528,75.4033117
Kerala Circle,Calicut Region,Cannanore Division,Makreri BO,670622,BO,Delivery,KANNUR,KERALA,11.8550906,75.4803442
Odisha Circle,DivReportingCircle,Bhadrak Division,Haladia B.O,756129,BO,Delivery,BHADRAK,ODISHA,20.9222605,86.7850867
Odisha Circle,DivReportingCircle,Bhadrak Division,Galagandapur B.O,756163,BO,Delivery,BHADRAK,ODISHA,20.9352916,86.5714416
Odisha Circle,Sambalpur Region,Rourkela Division,Bad Dalki B.O,770037,BO,Delivery,SUNDARGARH,ODISHA,22.0579383,84.74846
Karnataka Circle,South Karnataka Region,Udupi Division,Achladi BO,576225,BO,Delivery,UDUPI,KARNATAKA,13.5155383,74.7483547
Karnataka Circle,South Karnataka Region,Udupi Division,Nittur BO,576103,BO,Delivery,UDUPI,KARNATAKA,13.353522,74.7421624
Karnataka Circle,South Karnataka Region,Udupi Division,Manipura West BO,574105,BO,Delivery,UDUPI,KARNATAKA,13.2946512,74.7689895
Karnataka Circle,South Karnataka Region,Udupi Division,Halasinakatte BO,574113,BO,Delivery,UDUPI,KARNATAKA,13.1786939,74.834017
Karnataka Circle,South Karnataka Region,Udupi Division,Herur92 BO,574115,BO,Delivery,UDUPI,KARNATAKA,13.2435927,74.7917132
Karnataka Circle,South Karnataka Region,Udupi Division,Kodupanjimar BO,574116,BO,Non Delivery,UDUPI,KARNATAKA,13.237445,74.8045664
Maharashtra Circle,Aurangabad Region,Pharbhani Division,Hatala B.O,431703,BO,Delivery,HINGOLI,MAHARASHTRA,76.9805016,19.9075886
Madhya Pradesh Circle,Indore Region,Sehore Division,Muskara B.O,466113,BO,Delivery,SEHORE,MADHYA PRADESH,25.665308,79.798808
Madhya Pradesh Circle,Indore Region,Sehore Division,Guradiyavarma B.O,466118,BO,Delivery,SEHORE,MADHYA PRADESH,22.903164,76.508356
Maharashtra Circle,Aurangabad Region,Pharbhani Division,Ganjapur B.O,431513,BO,Delivery,HINGOLI,MAHARASHTRA,77.1476,19.79908
Maharashtra Circle,Nagpur Region,Nagpur Moffusil Division,Chikhla Basti B.O,441907,BO,Delivery,BHANDARA,MAHARASHTRA,20.88552,79.936059
Maharashtra Circle,Nagpur Region,Nagpur Moffusil Division,Kanhalgaon B.O,441910,BO,Delivery,BHANDARA,MAHARASHTRA,20.689954,79.669857
Maharashtra Circle,Nagpur Region,Nagpur Moffusil Division,Hardoli B.O,441909,BO,Delivery,BHANDARA,MAHARASHTRA,21.351381,79.672527
Maharashtra Circle,Nagpur Region,Nagpur Moffusil Division,Kanholibara B.O,441110,BO,Delivery,NAGPUR,MAHARASHTRA,20.934524,78.847466
Maharashtra Circle,Navi Mumbai Region,Nasik Division,Gangapur B.O,422222,BO,Delivery,NASHIK,MAHARASHTRA,19.96224,73.86842
Karnataka Circle,South Karnataka Region,Tumakuru Division,Mangalawada B.O,572116,BO,Delivery,TUMAKURU,KARNATAKA,14.0537704,77.1696959
Tamilnadu Circle,"Southern Region, Madurai",Dindigul Division,Moolaiyar BO,624210,BO,Delivery,DINDIGUL,TAMIL NADU,10.27,77.61
Kerala Circle,DivReportingCircle,Pathanamthitta Division,Chelikuzhy BO,691556,BO,Delivery,KOLLAM,KERALA,9.1,76.8
Kerala Circle,DivReportingCircle,Pathanamthitta Division,Chathakulam BO,690520,BO,Delivery,KOLLAM,KERALA,9.11,76.65
Kerala Circle,DivReportingCircle,Pathanamthitta Division,Anayadi BO,690561,BO,Delivery,KOLLAM,KERALA,9.14,76.63
Tamilnadu Circle,"Southern Region, Madurai",Dindigul Division,Palarparundalar Dam BO,624610,BO,Delivery,DINDIGUL,TAMIL NADU,10.38,77.48
Maharashtra Circle,Pune Region,Pune Moffusil Division,Alandi Chorachi B.O,412201,BO,Delivery,PUNE,MAHARASHTRA,18.666715,73.899985
Maharashtra Circle,Pune Region,Pune Moffusil Division,Malegaon IRR Colony B.O,413115,BO,Delivery,PUNE,MAHARASHTRA,17.93815,75.14465
Maharashtra Circle,Pune Region,Pune Moffusil Division,Kurkumbh B.O,413802,BO,Delivery,PUNE,MAHARASHTRA,18.395474,74.524479
Maharashtra Circle,Pune Region,Pune Moffusil Division,Manjari BK B.O,412307,BO,Delivery,PUNE,MAHARASHTRA,18.523429,73.985418
Maharashtra Circle,Pune Region,Pune Moffusil Division,Murti Modhave B.O,412304,BO,Delivery,PUNE,MAHARASHTRA,18.27325,74.3112
Karnataka Circle,South Karnataka Region,Tumakuru Division,Adalagere B.O,572223,BO,Delivery,TUMAKURU,KARNATAKA,13.2286544,76.9076238
Kerala Circle,DivReportingCircle,Trivandrum North Division,Thope BO,695008,BO,Non Delivery,THIRUVANANTHAPURAM,KERALA,8.48,76.92
Kerala Circle,DivReportingCircle,Trivandrum South Division,Arayur BO,695122,BO,Delivery,THIRUVANANTHAPURAM,KERALA,8.3571,77.128382
Kerala Circle,DivReportingCircle,Trivandrum North Division,Altharamoodu BO,695102,BO,Delivery,THIRUVANANTHAPURAM,KERALA,8.731717,76.847142
Kerala Circle,DivReportingCircle,Trivandrum North Division,Mudapuram BO,695304,BO,Delivery,THIRUVANANTHAPURAM,KERALA,76.81,8.66
Kerala Circle,DivReportingCircle,Trivandrum North Division,Anathalavattom BO,695306,BO,Delivery,THIRUVANANTHAPURAM,KERALA,76.77,8.66
Kerala Circle,DivReportingCircle,Trivandrum North Division,Kodithookiyakunnu BO,695608,BO,Delivery,THIRUVANANTHAPURAM,KERALA,8.753117,76.9388
Kerala Circle,DivReportingCircle,Trivandrum North Division,Oorupoika BO,695104,BO,Delivery,THIRUVANANTHAPURAM,KERALA,76.85,8.68
Madhya Pradesh Circle,Jabalpur Region,Balaghat Division,Mukki B.O,481111,BO,Delivery,BALAGHAT,MADHYA PRADESH,22.151847,80.672225
Madhya Pradesh Circle,Jabalpur Region,Balaghat Division,Dhansua B.O,481102,BO,Delivery,BALAGHAT,MADHYA PRADESH,27.357947,79.613713
Madhya Pradesh Circle,Jabalpur Region,Balaghat Division,Bakal B.O,481051,BO,Delivery,BALAGHAT,MADHYA PRADESH,54.952401,58.826205
Madhya Pradesh Circle,Jabalpur Region,Balaghat Division,Ramrama B.O,481332,BO,Delivery,BALAGHAT,MADHYA PRADESH,21.848792,79.927665
Madhya Pradesh Circle,DivReportingCircle,Guna Division,Singhniwas B.O,473551,BO,Delivery,SHIVPURI,MADHYA PRADESH,25.45,77.64
Madhya Pradesh Circle,Jabalpur Region,Balaghat Division,Pondi B.O,481117,BO,Delivery,BALAGHAT,MADHYA PRADESH,13.801001,78.925532
Madhya Pradesh Circle,Jabalpur Region,Balaghat Division,Khara B.O,481226,BO,Delivery,BALAGHAT,MADHYA PRADESH,28.18908,73.3915
Madhya Pradesh Circle,Jabalpur Region,Balaghat Division,Devalgaon B.O,481224,BO,Delivery,BALAGHAT,MADHYA PRADESH,18.452822,74.683955
